step,env,gait,vx_cmd,bvx,bvy,yaw_deg,ct_FL,ct_FR,ct_RL,ct_RR,cpg_r_FL,cpg_r_FR,cpg_r_RL,cpg_r_RR,cpg_theta_FL,cpg_theta_FR,cpg_theta_RL,cpg_theta_RR,FL_hip,FL_thigh,FL_calf,FR_hip,FR_thigh,FR_calf,RL_hip,RL_thigh,RL_calf,RR_hip,RR_thigh,RR_calf
1,0,trot,0.8,0.0022197463549673557,0.008981376886367798,0.007748174265085068,0,0,0,0,1.1497722864151,1.2091349363327026,1.2191237211227417,1.2339892387390137,1.686026930809021,0.2953428626060486,4.912919044494629,3.2043251991271973,1.1907868385314941,5.823421001434326,-13.561741828918457,0.3687639534473419,2.077627420425415,-6.039770126342773,0.6895548701286316,0.013547752052545547,-2.22131609916687,0.5618380308151245,-0.30446434020996094,-1.8060450553894043
2,0,trot,0.8,-0.008773917332291603,0.015379541553556919,0.007507992063643958,0,0,0,1,1.4214932918548584,1.4669333696365356,1.423081636428833,1.331644892692566,1.962065577507019,0.2262590229511261,5.25218391418457,3.2689857482910156,-0.4361379146575928,4.9051313400268555,-7.383639335632324,0.39091503620147705,1.6187846660614014,-6.205580234527588,0.6817049384117126,-1.3065193891525269,-1.0682780742645264,0.8731924295425415,-2.082961082458496,0.08345650136470795
3,0,trot,0.8,-0.01641642302274704,0.021935516968369484,0.03745560014485286,0,0,1,0,1.6379984617233276,1.6774073839187622,1.5924879312515259,1.354797601699829,2.285835027694702,0.25861966609954834,5.624725818634033,3.345585584640503,-1.6547658443450928,1.9641015529632568,-1.709407925605774,0.2698121964931488,1.4069440364837646,-5.705646991729736,0.7238982915878296,-1.5381931066513062,-0.7504116892814636,2.5014567375183105,-4.125555992126465,0.650236189365387
4,0,trot,0.8,-0.004873620346188545,0.030725400894880295,0.11286027159693209,0,1,0,0,1.7896435260772705,1.8162322044372559,1.7475688457489014,1.4198336601257324,2.5877561569213867,0.294012188911438,5.922210693359375,3.3926124572753906,-1.8109663724899292,-2.30910587310791,2.6630680561065674,0.6619386672973633,1.3138507604599,0.9085865020751953,-1.1390055418014526,-1.1197491884231567,1.339533805847168,2.8206679821014404,-4.509431838989258,0.26091468334198
5,0,trot,0.8,-0.004498559515923262,0.021413635462522507,0.2168560648888851,1,1,0,0,1.8831965923309326,1.8977943658828735,1.8541779518127441,1.4902703762054443,2.833866596221924,0.2970309853553772,6.143621444702148,3.3742752075195312,-0.33765673637390137,-0.6627492308616638,-1.5573174953460693,0.3420369029045105,1.1779522895812988,1.900686264038086,-2.5817878246307373,0.16072045266628265,1.7518806457519531,1.8218427896499634,-4.192093372344971,-0.09873197972774506
6,0,trot,0.8,-0.024848492816090584,-0.021788641810417175,0.36477988632244457,1,1,0,0,1.9371094703674316,1.9438132047653198,1.9193428754806519,1.5937401056289673,3.0272321701049805,0.36443793773651123,0.0371745228767395,3.3566999435424805,-0.8031485080718994,-0.6548459529876709,-0.4325920343399048,0.3878019452095032,1.5423643589019775,2.117077350616455,-2.445077657699585,1.4920529127120972,1.447631597518921,1.2545698881149292,-3.664839506149292,0.10104834288358688
7,0,trot,0.8,-0.06660769879817963,-0.0784207433462143,0.5564080205218661,1,1,0,0,1.9668824672698975,1.9626964330673218,1.902445912361145,1.7222554683685303,3.189784526824951,0.47402438521385193,0.20896925032138824,3.4416587352752686,-1.055988073348999,-0.6934425830841064,0.7415245175361633,1.037118911743164,3.040308713912964,1.7603825330734253,-1.938395619392395,3.074968099594116,-1.2265434265136719,0.8715803623199463,-3.4805264472961426,0.5332797765731812
8,0,trot,0.8,-0.126127690076828,-0.1349979043006897,0.7938155776745774,1,1,0,0,1.9828513860702515,1.9723106622695923,1.7562787532806396,1.8306982517242432,3.407461643218994,0.6293142437934875,0.4002778232097626,3.611328363418579,-1.4598006010055542,-0.8315456509590149,1.6857361793518066,2.004283905029297,4.868079662322998,1.4167921543121338,-1.3828861713409424,3.5683670043945312,-3.9562489986419678,0.5131416916847229,-3.406569242477417,0.7097936868667603
9,0,trot,0.8,-0.21053870022296906,-0.1791308969259262,1.0489343489536607,1,0,0,1,1.9912364482879639,1.9824490547180176,1.5314559936523438,1.9031314849853516,3.6310887336730957,0.8181984424591064,0.6183799505233765,3.864100933074951,-1.430907130241394,-1.156410813331604,2.006152391433716,2.5696399211883545,5.411149501800537,-0.663232147693634,-0.6348504424095154,2.411076068878174,-6.167372703552246,-0.8147751092910767,0.34504780173301697,-0.14404310286045074
10,0,trot,0.8,-0.29222631454467773,-0.2159804105758667,1.2995995167287784,1,0,0,1,1.995568871498108,1.9897257089614868,1.3524199724197388,1.8992383480072021,3.863896369934082,1.0285695791244507,0.8694863319396973,4.183720588684082,-1.4367539882659912,-1.475557804107666,2.2009990215301514,1.9681276082992554,4.505928039550781,-2.5538740158081055,-0.0011292926501482725,0.7258945107460022,-7.4650187492370605,-0.8318140506744385,0.022529879584908485,0.06840550154447556
