step,env,gait,vx_cmd,bvx,bvy,yaw_deg,ct_FL,ct_FR,ct_RL,ct_RR,cpg_r_FL,cpg_r_FR,cpg_r_RL,cpg_r_RR,cpg_theta_FL,cpg_theta_FR,cpg_theta_RL,cpg_theta_RR,FL_hip,FL_thigh,FL_calf,FR_hip,FR_thigh,FR_calf,RL_hip,RL_thigh,RL_calf,RR_hip,RR_thigh,RR_calf
1,0,walk,0.5,0.14801357686519623,-0.010433620773255825,0.023456773925261326,0,0,0,0,1.193784475326538,1.1510604619979858,1.2393364906311035,1.2265491485595703,2.348984479904175,3.0423717498779297,3.3578972816467285,0.5420839786529541,0.4633908271789551,10.873324394226074,-15.548738479614258,-1.3801474571228027,10.360708236694336,-15.522500038146973,0.6974611282348633,11.225720405578613,-15.549415588378906,1.31561279296875,14.790942192077637,-15.54978084564209
2,0,walk,0.5,0.12277594208717346,-0.01690608076751232,0.09432131058030596,0,0,0,0,1.3007336854934692,1.369925618171692,1.325387716293335,1.297472357749939,2.358220338821411,2.949528932571411,3.5179197788238525,0.6882187724113464,-3.399991035461426,14.559581756591797,-15.550004005432129,2.6597604751586914,11.275927543640137,-15.535037994384766,-2.3647918701171875,6.708176136016846,-15.550004005432129,4.001092910766602,17.64186668395996,-15.549795150756836
3,0,walk,0.5,-0.002117222873494029,-0.015683572739362717,0.12509667555692894,0,0,0,0,1.3113166093826294,1.382650375366211,1.2481023073196411,1.2251882553100586,2.5013668537139893,2.9389727115631104,3.614124298095703,0.7415556311607361,-3.415844202041626,12.27266788482666,-15.549997329711914,4.109909534454346,7.825608730316162,-15.541672706604004,-3.8490099906921387,1.9614530801773071,-15.176143646240234,3.5650277137756348,14.069119453430176,-15.550008773803711
4,0,walk,0.5,-0.0850902572274208,-0.017912419512867928,0.07273942691726645,0,0,0,0,1.3414500951766968,1.2731590270996094,1.1591222286224365,1.1439768075942993,2.7367942333221436,3.0270345211029053,3.8355181217193604,0.8639376163482666,-1.2109613418579102,5.908574104309082,-13.605293273925781,3.766125202178955,4.286721706390381,-12.881924629211426,-3.379685163497925,-0.44169649481773376,-10.898837089538574,1.0874968767166138,8.251553535461426,-14.408675193786621
5,0,walk,0.5,-0.10749783366918564,-0.021155474707484245,-0.007972055559731388,0,0,0,0,1.447209119796753,1.3396553993225098,1.2633600234985352,1.0846939086914062,2.8910999298095703,3.182788133621216,4.148658275604248,1.2046223878860474,0.17604568600654602,-0.6562102437019348,-7.6999969482421875,2.3733203411102295,1.2395904064178467,-6.786426544189453,-2.2485482692718506,-0.4314257800579071,-6.8931684494018555,-0.01693069003522396,4.7371931076049805,-12.605786323547363
6,0,walk,0.5,-0.12315456569194794,-0.022823790088295937,-0.07425282741663335,0,0,0,0,1.5721856355667114,1.547208309173584,1.501214623451233,1.1509041786193848,2.9342832565307617,3.3648123741149902,4.460729598999023,1.4980183839797974,-0.1459084451198578,-4.838897705078125,-4.15442419052124,1.3847932815551758,-2.125368595123291,-3.7735798358917236,-1.1905219554901123,-0.12904848158359528,-4.279099464416504,-0.019346101209521294,2.8582541942596436,-9.676767349243164
7,0,walk,0.5,-0.12253393977880478,-0.01824874058365822,-0.13811454920751043,0,0,0,0,1.5918245315551758,1.717293381690979,1.6974456310272217,1.337390422821045,2.846602439880371,3.5469679832458496,4.756656646728516,1.781130075454712,-0.9316055774688721,-5.374111652374268,-3.463253974914551,1.239806890487671,-4.743966579437256,-2.080242872238159,-0.46113118529319763,1.5664502382278442,-2.5615997314453125,-0.14051131904125214,0.5035108923912048,-6.403984546661377
8,0,walk,0.5,-0.09614293277263641,-0.0050538042560219765,-0.23434523116616554,0,0,0,0,1.5384796857833862,1.8234037160873413,1.8274011611938477,1.5503036975860596,2.628084659576416,3.7232155799865723,5.072253227233887,2.0307273864746094,-1.3581950664520264,-2.4031941890716553,-4.859745502471924,1.5295751094818115,-5.3324689865112305,-1.2069170475006104,-0.08661592751741409,4.342390537261963,-0.7707378268241882,-0.4357099235057831,-4.067507266998291,-3.5915677547454834
9,0,walk,0.5,-0.05425892025232315,0.019209768623113632,-0.3836652259753976,0,0,0,0,1.5177932977676392,1.891696572303772,1.9053248167037964,1.7268998622894287,2.2239179611206055,3.879483938217163,5.40123176574707,2.2701950073242188,-1.4890446662902832,2.941150188446045,-7.112168312072754,1.5582771301269531,-4.135611057281494,-0.8220644593238831,0.07188603281974792,6.826805114746094,1.308085560798645,-0.33758777379989624,-9.519965171813965,-0.794026255607605
10,0,walk,0.5,-0.01924494467675686,0.05034465715289116,-0.5861843902910954,0,0,0,0,1.5708880424499512,1.9378055334091187,1.944999098777771,1.8440921306610107,1.777174472808838,4.024211883544922,5.668431758880615,2.4986660480499268,-1.3035775423049927,9.131881713867188,-6.976767539978027,1.0684025287628174,-1.9874967336654663,-0.6528471112251282,0.1249057725071907,7.771785736083984,2.7937326431274414,0.24298685789108276,-13.148709297180176,2.1173477172851562
