step,env,leg,contact,foot_world_x,foot_slip_vx
1,0,FL,0,0.3451278805732727,-0.21555423736572266
1,0,FR,0,0.2914547324180603,-0.0967264175415039
1,0,RL,0,-0.49989554286003113,-0.03831684589385986
1,0,RR,0,-0.4391823709011078,-0.034874677658081055
2,0,FL,0,0.33592209219932556,-0.9205788373947144
2,0,FR,0,0.2905031442642212,-0.09515881538391113
2,0,RL,0,-0.500067412853241,-0.017186999320983887
2,0,RR,1,-0.43928736448287964,-0.010499358177185059
3,0,FL,0,0.32049915194511414,-1.5422940254211426
3,0,FR,0,0.289573609828949,-0.09295344352722168
3,0,RL,1,-0.50015789270401,-0.009047985076904297
3,0,RR,0,-0.43404626846313477,0.5241096019744873
4,0,FL,0,0.3109719157218933,-0.9527236223220825
4,0,FR,1,0.28302061557769775,-0.6552994251251221
4,0,RL,0,-0.5046666860580444,-0.4508793354034424
4,0,RR,0,-0.4221162497997284,1.1930018663406372
5,0,FL,1,0.30990713834762573,-0.10647773742675781
5,0,FR,1,0.2723526060581207,-1.0668009519577026
5,0,RL,0,-0.5155860781669617,-1.0919392108917236
5,0,RR,0,-0.4074370265007019,1.467922329902649
6,0,FL,1,0.30969879031181335,-0.020834803581237793
6,0,FR,1,0.2631668448448181,-0.9185761213302612
6,0,RL,0,-0.5310311317443848,-1.5445053577423096
6,0,RR,0,-0.3924890160560608,1.4948010444641113
7,0,FL,1,0.309670627117157,-0.002816319465637207
7,0,FR,1,0.2510080337524414,-1.215881109237671
7,0,RL,0,-0.5452313423156738,-1.4200210571289062
7,0,RR,0,-0.3770948648452759,1.5394151210784912
8,0,FL,1,0.3097938597202301,0.012323260307312012
8,0,FR,1,0.23049619793891907,-2.0511837005615234
8,0,RL,0,-0.5529385209083557,-0.7707178592681885
8,0,RR,0,-0.3604951798915863,1.6599684953689575
9,0,FL,1,0.3099755048751831,0.018164515495300293
9,0,FR,0,0.20700843632221222,-2.34877610206604
9,0,RL,0,-0.5498422980308533,0.30962228775024414
9,0,RR,1,-0.3584202826023102,0.2074897289276123
10,0,FL,1,0.31012046337127686,0.014495849609375
10,0,FR,0,0.19037966430187225,-1.6628772020339966
10,0,RL,0,-0.5350157618522644,1.4826536178588867
10,0,RR,1,-0.3585306406021118,-0.011035799980163574
11,0,FL,1,0.31025025248527527,0.012978911399841309
11,0,FR,0,0.18426324427127838,-0.6116420030593872
11,0,RL,0,-0.5133617520332336,2.165400981903076
11,0,RR,1,-0.35953447222709656,-0.10038316249847412
12,0,FL,1,0.31041011214256287,0.015985965728759766
12,0,FR,0,0.18904095888137817,0.47777146100997925
12,0,RL,0,-0.4919963479042053,2.136540412902832
12,0,RR,1,-0.3640894591808319,-0.45549869537353516
13,0,FL,1,0.31060802936553955,0.019791722297668457
13,0,FR,0,0.20288319885730743,1.3842239379882812
13,0,RL,0,-0.4749666452407837,1.702970266342163
13,0,RR,1,-0.3709248900413513,-0.6835430860519409
14,0,FL,1,0.31083226203918457,0.022423267364501953
14,0,FR,0,0.2218691110610962,1.8985912799835205
14,0,RL,0,-0.46230119466781616,1.266545057296753
14,0,RR,1,-0.3767033517360687,-0.5778461694717407
15,0,FL,1,0.30869200825691223,-0.2140253782272339
15,0,FR,0,0.23893281817436218,1.7063707113265991
15,0,RL,0,-0.4545208811759949,0.7780313491821289
15,0,RR,1,-0.38139379024505615,-0.4690438508987427
16,0,FL,1,0.30263492465019226,-0.6057083606719971
16,0,FR,0,0.25311726331710815,1.4184445142745972
16,0,RL,0,-0.448820024728775,0.5700856447219849
16,0,RR,1,-0.38242438435554504,-0.10305941104888916
17,0,FL,1,0.29254430532455444,-1.0090619325637817
17,0,FR,0,0.26334473490715027,1.0227471590042114
17,0,RL,0,-0.44416528940200806,0.4654735326766968
17,0,RR,1,-0.38301876187324524,-0.05943775177001953
18,0,FL,1,0.28002554178237915,-1.2518763542175293
18,0,FR,0,0.26983392238616943,0.6489187479019165
18,0,RL,0,-0.4396474361419678,0.4517853260040283
18,0,RR,1,-0.3836005926132202,-0.05818307399749756
19,0,FL,1,0.26658838987350464,-1.3437151908874512
19,0,FR,0,0.2737275958061218,0.38936734199523926
19,0,RL,0,-0.43442171812057495,0.5225718021392822
19,0,RR,1,-0.38417112827301025,-0.057053565979003906
20,0,FL,1,0.25296133756637573,-1.3627052307128906
20,0,FR,0,0.2777339220046997,0.4006326198577881
20,0,RL,0,-0.4288855791091919,0.5536139011383057
20,0,RR,0,-0.38471314311027527,-0.054201483726501465
21,0,FL,1,0.2397211641073227,-1.3240172863006592
21,0,FR,0,0.28502053022384644,0.7286608219146729
21,0,RL,0,-0.4244626760482788,0.4422903060913086
21,0,RR,0,-0.38523757457733154,-0.05244314670562744
22,0,FL,1,0.22758209705352783,-1.2139067649841309
22,0,FR,0,0.29673945903778076,1.1718928813934326
22,0,RL,0,-0.4205208718776703,0.39418041706085205
22,0,RR,0,-0.38575050234794617,-0.0512927770614624
23,0,FL,1,0.21764731407165527,-0.9934782981872559
23,0,FR,0,0.31130996346473694,1.4570504426956177
23,0,RL,0,-0.4141513407230377,0.6369531154632568
23,0,RR,0,-0.386248916387558,-0.04984140396118164
24,0,FL,1,0.21077895164489746,-0.6868362426757812
24,0,FR,0,0.3248652517795563,1.3555288314819336
24,0,RL,0,-0.4040045738220215,1.0146766901016235
24,0,RR,0,-0.3867444694042206,-0.049555301666259766
25,0,FL,1,0.20701800286769867,-0.37609487771987915
25,0,FR,0,0.33209747076034546,0.7232218980789185
25,0,RL,0,-0.39101678133010864,1.2987792491912842
25,0,RR,0,-0.387225866317749,-0.04813969135284424
26,0,FL,1,0.20557844638824463,-0.14395564794540405
26,0,FR,0,0.3299334645271301,-0.2164006233215332
26,0,RL,0,-0.3769271969795227,1.4089584350585938
26,0,RR,0,-0.38769397139549255,-0.04681050777435303
27,0,FL,1,0.20545697212219238,-0.01214742660522461
27,0,FR,0,0.31991827487945557,-1.001518964767456
27,0,RL,0,-0.363430917263031,1.34962797164917
27,0,RR,0,-0.38813483715057373,-0.044086575508117676
28,0,FL,1,0.20539191365242004,-0.006505846977233887
28,0,FR,0,0.305813729763031,-1.410454511642456
28,0,RL,0,-0.3518974184989929,1.1533498764038086
28,0,RR,0,-0.3885374665260315,-0.04026293754577637
29,0,FL,1,0.205379918217659,-0.0011995434761047363
29,0,FR,0,0.29137879610061646,-1.443493366241455
29,0,RL,0,-0.3435426354408264,0.8354783058166504
29,0,RR,0,-0.3888811469078064,-0.034368038177490234
30,0,FL,1,0.20542369782924652,0.004377961158752441
30,0,FR,0,0.28074532747268677,-1.0633468627929688
30,0,RL,0,-0.33904749155044556,0.44951438903808594
30,0,RR,0,-0.38913750648498535,-0.025635957717895508
31,0,FL,1,0.20553070306777954,0.010700523853302002
31,0,FR,0,0.27877169847488403,-0.19736289978027344
31,0,RL,0,-0.3385162651538849,0.053122639656066895
31,0,RR,0,-0.3893219232559204,-0.01844167709350586
32,0,FL,1,0.20570212602615356,0.017142295837402344
32,0,FR,0,0.28765588998794556,0.8884191513061523
32,0,RL,0,-0.34056949615478516,-0.20532310009002686
32,0,RR,0,-0.3894554376602173,-0.0133514404296875
33,0,FL,1,0.2059330940246582,0.023096799850463867
33,0,FR,0,0.30561843514442444,1.7962545156478882
33,0,RL,0,-0.34266144037246704,-0.20919442176818848
33,0,RR,0,-0.3895617425441742,-0.010630488395690918
34,0,FL,1,0.20620562136173248,0.02725273370742798
34,0,FR,1,0.3159182667732239,1.0299831628799438
34,0,RL,1,-0.3427143692970276,-0.0052928924560546875
34,0,RR,1,-0.3895941376686096,-0.0032395124435424805
35,0,FL,1,0.2063237726688385,0.011815130710601807
35,0,FR,1,0.31588003039360046,-0.0038236379623413086
35,0,RL,1,-0.3424667418003082,0.024762749671936035
35,0,RR,1,-0.38945284485816956,0.014129281044006348
36,0,FL,1,0.20429784059524536,-0.20259320735931396
36,0,FR,1,0.3159160912036896,0.003606081008911133
36,0,RL,1,-0.3420998156070709,0.03669261932373047
36,0,RR,1,-0.38917216658592224,0.028067827224731445
37,0,FL,1,0.198727548122406,-0.5570292472839355
37,0,FR,1,0.316024512052536,0.010842084884643555
37,0,RL,1,-0.3416583836078644,0.0441431999206543
37,0,RR,1,-0.3895907998085022,-0.041863322257995605
38,0,FL,1,0.18739712238311768,-1.133042573928833
38,0,FR,1,0.31620967388153076,0.018516182899475098
38,0,RL,1,-0.3412005305290222,0.04578530788421631
38,0,RR,1,-0.3955077826976776,-0.5916982889175415
39,0,FL,0,0.17017795145511627,-1.7219171524047852
39,0,FR,1,0.3164587616920471,0.024908781051635742
39,0,RL,1,-0.34078019857406616,0.04203319549560547
39,0,RR,1,-0.4090160131454468,-1.3508230447769165
40,0,FL,0,0.15451690554618835,-1.5661046504974365
40,0,FR,1,0.3167364001274109,0.027763843536376953
40,0,RL,1,-0.3404202461242676,0.0359952449798584
40,0,RR,0,-0.434215247631073,-2.519923448562622
41,0,FL,0,0.14487090706825256,-0.9645998477935791
41,0,FR,1,0.3169805407524109,0.0244140625
41,0,RL,1,-0.3401349186897278,0.028532743453979492
41,0,RR,0,-0.46366167068481445,-2.9446423053741455
42,0,FL,0,0.14184945821762085,-0.3021448850631714
42,0,FR,1,0.31715285778045654,0.01723170280456543
42,0,RL,1,-0.3399849534034729,0.014996528625488281
42,0,RR,0,-0.48374006152153015,-2.0078392028808594
43,0,FL,0,0.14443781971931458,0.25883615016937256
43,0,FR,1,0.3172767758369446,0.012391805648803711
43,0,RL,1,-0.34315934777259827,-0.3174394369125366
43,0,RR,0,-0.4913734793663025,-0.7633417844772339
44,0,FL,0,0.15265244245529175,0.8214622735977173
44,0,FR,1,0.3173865079879761,0.010973215103149414
44,0,RL,1,-0.35276830196380615,-0.9608954191207886
44,0,RR,0,-0.4892546236515045,0.21188557147979736
45,0,FL,0,0.16656798124313354,1.3915538787841797
45,0,FR,1,0.31677162647247314,-0.06148815155029297
45,0,RL,1,-0.3669785261154175,-1.4210224151611328
45,0,RR,0,-0.4818271994590759,0.7427424192428589
46,0,FL,0,0.18569478392601013,1.9126802682876587
46,0,FR,1,0.31223028898239136,-0.4541337490081787
46,0,RL,1,-0.38239842653274536,-1.541990041732788
46,0,RR,0,-0.4720514416694641,0.9775757789611816
47,0,FL,0,0.2090606540441513,2.3365869522094727
47,0,FR,1,0.3039047122001648,-0.8325576782226562
47,0,RL,1,-0.3957323431968689,-1.3333916664123535
47,0,RR,0,-0.46078723669052124,1.126420497894287
48,0,FL,0,0.23557662963867188,2.651597499847412
48,0,FR,1,0.2937130928039551,-1.0191619396209717
48,0,RL,1,-0.40417641401290894,-0.8444070816040039
48,0,RR,0,-0.44775354862213135,1.3033688068389893
